_id,Manufacturer Type (Type de fabricant),Manufacturer Name (Nom du fabricant),Manufacturer's Brand (Marque du fabricant)
121,Beer Manufacturer,Sleeman Breweries Ltd.,Pabst Blue Ribbon Honey
122,Beer Manufacturer,Sleeman Breweries Ltd.,Pabst Blue Ribbon Light
123,Beer Manufacturer,Sleeman Breweries Ltd.,Red Bull
124,Beer Manufacturer,Sleeman Breweries Ltd.,Sapporo
125,Beer Manufacturer,Sleeman Breweries Ltd.,Schlitz Strong
126,Beer Manufacturer,Sleeman Breweries Ltd.,Sleeman Clear
127,Beer Manufacturer,Sleeman Breweries Ltd.,Sleeman Cream Ale
128,Beer Manufacturer,Sleeman Breweries Ltd.,Sleeman Fine Porter
129,Beer Manufacturer,Sleeman Breweries Ltd.,Sleeman Honey Brown Lager
130,Beer Manufacturer,Sleeman Breweries Ltd.,Sleeman India Pale Ale
131,Beer Manufacturer,Sleeman Breweries Ltd.,Sleeman Light
132,Beer Manufacturer,Sleeman Breweries Ltd.,Sleeman Original Dark
133,Beer Manufacturer,Sleeman Breweries Ltd.,Sleeman Original Draught
134,Beer Manufacturer,Sleeman Breweries Ltd.,Sleeman Premium Light
135,Beer Manufacturer,Sleeman Breweries Ltd.,Sleeman Selection
136,Beer Manufacturer,Sleeman Breweries Ltd.,Sleeman Silver Creek Lager
137,Beer Manufacturer,Sleeman Breweries Ltd.,Strohs
138,Beer Manufacturer,Sleeman Breweries Ltd.,Unibrou Blanche De Chambly
139,Beer Manufacturer,Sleeman Breweries Ltd.,Unibroue Collection
140,Beer Manufacturer,Sleeman Breweries Ltd.,"Unibroue La Fin, Unibroue"
141,Beer Manufacturer,Sleeman Breweries Ltd.,Unibroue Trois
142,Beer Manufacturer,Sleeman Breweries Ltd.,Upper Canada
143,Beer Manufacturer,Sleeman Breweries Ltd.,Upper Canada Lager
144,Beer Manufacturer,Sleeman Breweries Ltd.,Upper Canada Light Lager
145,Beer Manufacturer,Sleeman Breweries Ltd.,Upper Canada Pale Ale
146,Beer Manufacturer,Sleeman Breweries Ltd.,Upper Canada Point Nine
147,Beer Manufacturer,Sleeman Breweries Ltd.,Upper Canada Red
148,Beer Manufacturer,Sleeman Breweries Ltd.,Upper Canada Wheat
149,Beer Manufacturer,Steam Whistle Brewing,Steam Whistle
150,Beer Manufacturer,Waterloo Brewing Ltd.,Laker Ale
151,Beer Manufacturer,Waterloo Brewing Ltd.,Laker Honey
152,Beer Manufacturer,Waterloo Brewing Ltd.,Laker Ice
153,Beer Manufacturer,Waterloo Brewing Ltd.,Laker Lager
154,Beer Manufacturer,Waterloo Brewing Ltd.,Laker Light
155,Beer Manufacturer,Waterloo Brewing Ltd.,Laker Red
156,Beer Manufacturer,Waterloo Brewing Ltd.,Laker Strong
157,Beer Manufacturer,Waterloo Brewing Ltd.,Red Cap
158,Beer Manufacturer,Waterloo Brewing Ltd.,Waterloo Dark
159,Microbrewer,100 Acre Brewing Company Inc. o/a 100 Acre Brewing Company,Monarch - Saison
160,Microbrewer,100 Acre Brewing Company Inc. o/a 100 Acre Brewing Company,Stag Tail - Pilsner
161,Microbrewer,100 Acre Brewing Company Inc. o/a 100 Acre Brewing Company,Snapper - IPA
162,Microbrewer,100 Acre Brewing Company Inc. o/a 100 Acre Brewing Company,Flight Path - Table Beer
163,Microbrewer,1000 Islands Brewery Inc. o/a 1000 Islands Brewery ,1000 Island Amber
164,Microbrewer,1000165153 Ontario Limited o/a Frontier Brewing Company,
165,Microbrewer,1000432010 Ontario Inc. o/a Soo Falls Brewery,
166,Microbrewer,1000690694 Ontario Inc o/a Beamer Beer,Beamer Beer Lager
167,Microbrewer,1000910993 Ontario Inc o/a Taps Brewing Company,
168,Microbrewer,1001034405 Ontario Ltd o/a NOMXD BREW CO,Light lager - Days End
169,Microbrewer,1001034405 Ontario Ltd o/a NOMXD BREW CO,Dark Lager - Dusk Till Dawn
170,Microbrewer,1001121747 Ontario Ltd. o/a Banded Goose Brewing Company,Larry Wiggy Lager
171,Microbrewer,1001121747 Ontario Ltd. o/a Banded Goose Brewing Company,Jack's Golden Ale
172,Microbrewer,1001121747 Ontario Ltd. o/a Banded Goose Brewing Company,Flying V West Coast IPA
173,Microbrewer,1001121747 Ontario Ltd. o/a Banded Goose Brewing Company,Boyz to the yard Milkshake IPA
174,Microbrewer,1001121747 Ontario Ltd. o/a Banded Goose Brewing Company,Kicka Ginger
175,Microbrewer,10522015 Canada Inc. o/a Newstandard Beverage Company,
176,Microbrewer,10643980 Canada Inc. o/a Sarah Cole Cider,7th Heaven G-Tonic
177,Microbrewer,10643980 Canada Inc. o/a Sarah Cole Cider,7th Heaven Strawberry & Rhubarb
178,Microbrewer,11484087 Canada Incorporated o/a El Gringo Beer,
179,Microbrewer,1300301 Ontario Limited o/a Amber Brewery,
180,Microbrewer,13165175 Canada Inc. o/a UTSAV BEER & CO.,UTSAV Lager
181,Microbrewer,15657784 Canada Inc. o/a Taberna Nacional,Taberna Nacional (only house beers)
182,Microbrewer,16642110 Canada Inc. o/a Erie St Brewery,
183,Microbrewer,1863522 ONTARIO INC. o/a Niagara Oast House Brewers,Barn Raiser
184,Microbrewer,1863522 ONTARIO INC. o/a Niagara Oast House Brewers,Farmhouse Saison
185,Microbrewer,1874022 ONTARIO CORPORATION o/a Clifford Brewing Company,Clifford Porter
186,Microbrewer,1874022 ONTARIO CORPORATION o/a Clifford Brewing Company,Pinball Pale Ale
187,Microbrewer,1885801 Ontario Inc. o/a Bancroft Brewery,Canada 150
188,Microbrewer,1885801 Ontario Inc. o/a Bancroft Brewery,Blonde Lady
189,Microbrewer,1885801 Ontario Inc. o/a Bancroft Brewery,Prospector's Ale
190,Microbrewer,1885801 Ontario Inc. o/a Bancroft Brewery,Black Quartz
191,Microbrewer,1885801 Ontario Inc. o/a Bancroft Brewery,Iron Mad
192,Microbrewer,1885801 Ontario Inc. o/a Bancroft Brewery,Logger's Ale
193,Microbrewer,1885801 Ontario Inc. o/a Bancroft Brewery,LTD Edition
194,Microbrewer,1885801 Ontario Inc. o/a Bancroft Brewery ,Saw Mill Lager
195,Microbrewer,1885801 Ontario Inc. o/a Bancroft Brewery,V-Rock Ale
196,Microbrewer,1891001 Ontario Inc. o/a Breakwall Brewing Company,
197,Microbrewer,1903294 Ontario Inc. o/a Sandwich Brewing Company,Glophead IPA
198,Microbrewer,1903294 Ontario Inc. o/a Sandwich Brewing Company ,Sandy Bottoms Session Ale
199,Microbrewer,1903294 Ontario Inc. o/a Sandwich Brewing Company ,Yappy Porter
200,Microbrewer,1960709 Ontario Inc. o/a Beerlab!,
201,Microbrewer,2045019 Ontario Ltd. o/a Slate Island Brewing Company,
202,Microbrewer,2208539 Ontario Inc. o/a Bhogal Brewing,
203,Microbrewer,"2234685 Ontario Inc., o/a Niagara Brewing Company",Niagara Premium Lager
204,Microbrewer,"2234685 Ontario Inc., o/a Niagara Brewing Company",Amber Eh
205,Microbrewer,"2234685 Ontario Inc., o/a Niagara Brewing Company",Beer Devil IPA
206,Microbrewer,"2234685 Ontario Inc., o/a Niagara Brewing Company",Honeymoon Peach Radler
207,Microbrewer,2240137 Ontario Inc. o/a The Cornerhouse on Main,Cock A Hoop  
208,Microbrewer,2306003 ONTARIO INC. o/a Walkerville Brewery,Walkerville Pilsner
209,Microbrewer,2306003 ONTARIO INC. o/a Walkerville Brewery,Walkerville Premium Lager
210,Microbrewer,2329478 Ontario Inc. o/a George Hamilton Restaurant and Brewery (The),
211,Microbrewer,2347347 ONTARIO INC. o/a MUDDY YORK BREWING COMPANY,Unearthed Amber Ale
212,Microbrewer,2347347 ONTARIO INC. o/a MUDDY YORK BREWING COMPANY,Muddy York Porter
213,Microbrewer,2347347 ONTARIO INC. o/a MUDDY YORK BREWING COMPANY,Dereliction Double IPA
214,Microbrewer,2347347 ONTARIO INC. o/a MUDDY YORK BREWING COMPANY,Haberdasher Pale Ale
215,Microbrewer,2401155 Ontario Inc. o/a Burdock,Burdock IPA
216,Microbrewer,2401155 Ontario Inc. o/a Burdock,Burdock Saison
217,Microbrewer,2401155 Ontario Inc. o/a Burdock,Burdock Pilsner
218,Microbrewer,2401155 Ontario Inc. o/a Burdock,Burdock Table Beer
219,Microbrewer,2401155 Ontario Inc. o/a Burdock,Burdock Black
220,Microbrewer,2401155 Ontario Inc. o/a Burdock,Burdock Red
221,Microbrewer,2401155 Ontario Inc. o/a Burdock,Burdock Orange
222,Microbrewer,2401155 Ontario Inc. o/a Burdock,Burdock Beige
223,Microbrewer,2408143 ONTARIO INC. o/a Haliburton Highlands Brewing,Haliburton Highlands Blue Line Blond
224,Microbrewer,2408143 ONTARIO INC. o/a Haliburton Highlands Brewing,Haliburton Highlands Abbey Ale
225,Microbrewer,2408143 ONTARIO INC. o/a Haliburton Highlands Brewing,Haliburton Highlands Pale Ale
226,Microbrewer,2408143 ONTARIO INC. o/a Haliburton Highlands Brewing,Haliburton Highlands Honey Brown Ale
227,Microbrewer,2414407 Ontario Inc. o/a Louis Cifer Brew Works,
228,Microbrewer,2423891 Ontario Inc. o/a North Bay Beerworks,
229,Microbrewer,2463803 Ontario Inc. o/a Barnstormer Brewing and Pizzeria,Barnstormer Brewing
230,Microbrewer,2485130 Ontario Inc. o/a Ashton Brewing Company ,
231,Microbrewer,2510530 Ontario Inc. o/a Northern Maverick Gastro Brewery,
232,Microbrewer,2519304 Ontario Inc. o/a Bar Volo,
233,Microbrewer,2556558 Ontario Inc. o/a Pie Eyed Monk Brewery,
234,Microbrewer,2556568 Ontario Inc. o/a Pie Eyed Monk Brewery,
235,Microbrewer,2560209 Ontario Inc. o/a Chapter Two Brewing Company,
236,Microbrewer,2579836 Ontario Inc. o/a The Wismer House,Idle & Coast Lager
237,Microbrewer,2579836 Ontario Inc. o/a The Wismer House,Road Closure Red Ale
238,Microbrewer,2579836 Ontario Inc. o/a The Wismer House,New Wave Ipa
239,Microbrewer,2579836 Ontario Inc. o/a The Wismer House,Slow-Pitch Pilsner
240,Microbrewer,2629949 Ontario Inc. o/a Sparrow Brewing & Roasting Co.,
241,Microbrewer,2635317 Ontario Inc. o/a New Ritual Brewing Company,Anthem Pale Ales
242,Microbrewer,2635317 Ontario Inc. o/a New Ritual Brewing Company,Tired Earth IPA 
243,Microbrewer,2657419 Ontario Inc. o/a One Time Brew Co.,
244,Microbrewer,2672934 Ontario Inc. o/a Hespeler Brewing,
245,Microbrewer,2687073 Ontario Inc. o/a Sir Monty's Brewing Company,Irish Red Lager
246,Microbrewer,2687073 Ontario Inc. o/a Sir Monty's Brewing Company,Kolsch
247,Microbrewer,2687073 Ontario Inc. o/a Sir Monty's Brewing Company,Blonde
248,Microbrewer,2687073 Ontario Inc. o/a Sir Monty's Brewing Company,Milk Stout
249,Microbrewer,2687073 Ontario Inc. o/a Sir Monty's Brewing Company,India Pale Ale
250,Microbrewer,2728206 Ontario Inc. o/a Turncoat Brewing Company,
251,Microbrewer,2742645 Ontario Inc. o/a Brauwerk Hoffman Rockland,
252,Microbrewer,2745941 Ontario Inc. o/a Decew Falls Brewing,Morningstar Cream Ale
253,Microbrewer,2791824 Ontario Ltd. o/a Burlington Brewery,
254,Microbrewer,2796000 Ontario Inc. o/a Farm League Brewing,Hauler Lager
255,Microbrewer,2796000 Ontario Inc. o/a Farm League Brewing,Fun Police IPA
256,Microbrewer,2796000 Ontario Inc. o/a Farm League Brewing,Lief American Farmhouse Ale
257,Microbrewer,2821064 Ontario Inc. o/a Fogorig Brewing,
258,Microbrewer,2856905 Ontario Inc. o/a The El (P),
259,Microbrewer,46 North Brewing Corp. ,
260,Microbrewer,5 Paddles Brewing Company Inc.,Midnight Paddler
261,Microbrewer,5 Paddles Brewing Company Inc.,Hot Pants IPA
262,Microbrewer,5 Paddles Brewing Company Inc.,Badass Pale Ale
263,Microbrewer,5 Paddles Brewing Company Inc.,So We Opened a Brewery
264,Microbrewer,5 Paddles Brewing Company Inc.,Dog Days of Summer
265,Microbrewer,5 Paddles Brewing Company Inc.,Home Sweet Home
266,Microbrewer,5 Paddles Brewing Company Inc.,Lazy Days
267,Microbrewer,5009980 Ontario Inc. o/a Blackburn Brew House,
268,Microbrewer,5017118 Ontario Ltd. o/a The Grist,Red Cream Ale
269,Microbrewer,5017118 Ontario Ltd. o/a The Grist,Stout
270,Microbrewer,5017118 Ontario Ltd. o/a The Grist,IPA
271,Microbrewer,5017118 Ontario Ltd. o/a The Grist,Italian Pilsner
272,Microbrewer,54 Brewing Corp.,
273,Microbrewer,54 Brewing Corp.,54 Brewing Corp.
274,Microbrewer,555 Brewing Corporation o/a 555 Brewing Co.,The Judge (Helles Lager)
275,Microbrewer,555 Brewing Corporation o/a 555 Brewing Co.,The Jury (Pale Ale)
276,Microbrewer,555 Brewing Corporation o/a 555 Brewing Co.,Long Black (Black Ale)
277,Microbrewer,555 Brewing Corporation o/a 555 Brewing Co.,Footprint (IPA)
278,Microbrewer,555 Brewing Corporation o/a 555 Brewing Co.,Jail Cell Sour (Kettle Sour)
279,Microbrewer,762 Craft Brewers Inc.  o/a 762 Craft Brewers,Irish Red
280,Microbrewer,762 Craft Brewers Inc.  o/a 762 Craft Brewers,Canadian Ale
281,Microbrewer,762 Craft Brewers Inc.  o/a 762 Craft Brewers,Best Bitter
282,Microbrewer,762 Craft Brewers Inc.  o/a 762 Craft Brewers,Dark Red 
283,Microbrewer,8475202 CANADA INC. o/a Innocente Brewing Company,Bystander
284,Microbrewer,8475202 CANADA INC. o/a Innocente Brewing Company,Fling
285,Microbrewer,8475202 CANADA INC. o/a Innocente Brewing Company,Conscience
286,Microbrewer,9110224 Canada Corporation o/a Walsh WiltshireBrewing Co.,
287,Microbrewer,9181563 Canada Inc. o/a Bandit Brewery,
288,Microbrewer,ACE BEVERAGE GROUP INC.,Ace Hill Pilsner
289,Microbrewer,ACE BEVERAGE GROUP INC.,Ace Hill Vienna Lager
290,Microbrewer,Adlys Hotels Inc. o/a Huether Hotel,
291,Microbrewer,Alechemist Brewing Company Inc.,Alechemist's Gold
292,Microbrewer,Alechemist Brewing Company Inc. o/a Alechemist Brewing Company,Alechemist's Gold
293,Microbrewer,All My Friends Beer Inc. o/a All My Friends Beer,
294,Microbrewer,All Or Nothing Brewhouse Inc.,
295,Microbrewer,All or Nothing Brewhouse Inc. o/a All or Nothing Brewhouse,All or Nothing Hopfenweisse
296,Microbrewer,Ancaster Brewing Company o/a Brewers Blackbird Kitchen and Brewery,
297,Microbrewer,Anderson Craft Ales Ltd.,Indian Pale Ale
298,Microbrewer,Anderson Craft Ales Ltd.,Amber Ale
299,Microbrewer,Anderson Craft Ales Ltd.,Brown Ale
300,Microbrewer,Anderson Craft Ales Ltd.,Cream Ale
301,Microbrewer,Anderson Craft Ales Ltd.,Stout
302,Microbrewer,Anderson Craft Ales Ltd.,Winter Seasonal Spiced Ale 
303,Microbrewer,Anker Beer Corp.,
304,Microbrewer,Apollo Brewing Company Ltd,Apollo seven Lager
305,Microbrewer,AQUANOVA BREWING COMPANY INC. o/a ,Aquanova Brewing Co
306,Microbrewer,Backyard Brewing & Supplies Ltd. o/a Backyard Brewing & Supplies,"Funky, Hoppy, Brown"
307,Microbrewer,Bad Apple Brewing Company Ltd.,The Boss
308,Microbrewer,Bad Apple Brewing Company Ltd.,Jim's Juicy IPA 
309,Microbrewer,Bad Apple Brewing Company Ltd.,West Coast Miss-Take 
310,Microbrewer,Bad Apple Brewing Company Ltd.,West Coast White
311,Microbrewer,Bad Apple Brewing Company Ltd.,West Coast Ale
312,Microbrewer,Bad Apple Brewing Company Ltd.,Heffeweissen 
313,Microbrewer,Bad Apple Brewing Company Ltd.,Born In A Barn
314,Microbrewer,Bad Apple Brewing Company Ltd.,Cyser-Weissen
315,Microbrewer,Bad Apple Brewing Company Ltd.,Cyser-Roggen 
316,Microbrewer,Bad Apple Brewing Company Ltd.,Product Of Circumstance
317,Microbrewer,Badlands Brewing Company Incorporated o/a Badlands Brewing Company,Through the glass - IPA
318,Microbrewer,Badlands Brewing Company Incorporated o/a Badlands Brewing Company,Distorted - Pale Ale
319,Microbrewer,Badlands Brewing Company Incorporated o/a Badlands Brewing Company,Barry and Mary - DIPA
320,Microbrewer,Badlands Brewing Company Incorporated o/a Badlands Brewing Company,Elevate - IPA
321,Microbrewer,Badlands Brewing Company Incorporated o/a Badlands Brewing Company,Dora - IPA
322,Microbrewer,Badlands Brewing Company Incorporated o/a Badlands Brewing Company,Mingle - IPA
323,Microbrewer,Badlands Brewing Company Incorporated o/a Badlands Brewing Company,Perspective - IPA
324,Microbrewer,Badlands Brewing Company Incorporated o/a Badlands Brewing Company,Very Provocative - DIPA
325,Microbrewer,Badlands Brewing Company Incorporated o/a Badlands Brewing Company,Monthly DIPA
326,Microbrewer,Badmaash Inc.,Badmaash Beer
327,Microbrewer,Banter & Co. Brewing Ltd. o/a Banter & Co. Brewing,Blonde Ale
328,Microbrewer,Banter & Co. Brewing Ltd. o/a Banter & Co. Brewing,IPA
329,Microbrewer,Banter & Co. Brewing Ltd. o/a Banter & Co. Brewing,New England Pale Ale
330,Microbrewer,Banter & Co. Brewing Ltd. o/a Banter & Co. Brewing,Extra Special Bitter
331,Microbrewer,Banter & Co. Brewing Ltd. o/a Banter & Co. Brewing,Belgian Witbier
332,Microbrewer,Banter & Co. Brewing Ltd. o/a Banter & Co. Brewing,Irish Stout
333,Microbrewer,Banter & Co. Brewing Ltd. o/a Banter & Co. Brewing,Strawberry Witbier
334,Microbrewer,Banter & Co. Brewing Ltd. o/a Banter & Co. Brewing,Raspberry Witbier
335,Microbrewer,Barrel Heart Brewing Inc. o/a Barrel Heart Brewing ,
336,Microbrewer,Base Camp Brewing Inc. o/a Base Camp Brewing ,Base Camp Brewing
337,Microbrewer,Bayfield Brewing Company Incorporated,
